Bond Price,Option Price,Bond Quantity,Option Quantity,Bond Cost,Option Cost,Best Return,Average Return,Worst Return
952.381,44.7775,0,22.3326,0,1000,5525.45,2570.29,-1000
952.381,44.7775,0.0105,22.1093,10,990,5480.69,2555.08,-979.5
952.381,44.7775,0.021,21.886,20,980,5435.94,2539.88,-959
952.381,44.7775,0.0315,21.6627,30,970,5391.18,2524.68,-938.5
952.381,44.7775,0.042,21.4393,40,960,5346.43,2509.48,-918
952.381,44.7775,0.0525,21.216,50,950,5301.67,2494.27,-897.5
952.381,44.7775,0.063,20.9927,60,940,5256.92,2479.07,-877
952.381,44.7775,0.0735,20.7694,70,930,5212.17,2463.87,-856.5
952.381,44.7775,0.084,20.546,80,920,5167.41,2448.66,-836
952.381,44.7775,0.0945,20.3227,90,910,5122.66,2433.46,-815.5
952.381,44.7775,0.105,20.0994,100,900,5077.9,2418.26,-795
952.381,44.7775,0.1155,19.8761,110,890,5033.15,2403.06,-774.5
952.381,44.7775,0.126,19.6527,120,880,4988.39,2387.85,-754
952.381,44.7775,0.1365,19.4294,130,870,4943.64,2372.65,-733.5
952.381,44.7775,0.147,19.2061,140,860,4898.88,2357.45,-713
952.381,44.7775,0.1575,18.9828,150,850,4854.13,2342.24,-692.5
952.381,44.7775,0.168,18.7594,160,840,4809.37,2327.04,-672
952.381,44.7775,0.1785,18.5361,170,830,4764.62,2311.84,-651.5
952.381,44.7775,0.189,18.3128,180,820,4719.87,2296.64,-631
952.381,44.7775,0.1995,18.0894,190,810,4675.11,2281.43,-610.5
952.381,44.7775,0.21,17.8661,200,800,4630.36,2266.23,-590
952.381,44.7775,0.2205,17.6428,210,790,4585.6,2251.03,-569.5
952.381,44.7775,0.231,17.4195,220,780,4540.85,2235.82,-549
952.381,44.7775,0.2415,17.1961,230,770,4496.09,2220.62,-528.5
952.381,44.7775,0.252,16.9728,240,760,4451.34,2205.42,-508
952.381,44.7775,0.2625,16.7495,250,750,4406.58,2190.22,-487.5
952.381,44.7775,0.273,16.5262,260,740,4361.83,2175.01,-467
952.381,44.7775,0.2835,16.3028,270,730,4317.08,2159.81,-446.5
952.381,44.7775,0.294,16.0795,280,720,4272.32,2144.61,-426
952.381,44.7775,0.3045,15.8562,290,710,4227.57,2129.4,-405.5
952.381,44.7775,0.315,15.6329,300,700,4182.81,2114.2,-385
952.381,44.7775,0.3255,15.4095,310,690,4138.06,2099,-364.5
952.381,44.7775,0.336,15.1862,320,680,4093.3,2083.8,-344
952.381,44.7775,0.3465,14.9629,330,670,4048.55,2068.59,-323.5
952.381,44.7775,0.357,14.7395,340,660,4003.79,2053.39,-303
952.381,44.7775,0.3675,14.5162,350,650,3959.04,2038.19,-282.5
952.381,44.7775,0.378,14.2929,360,640,3914.29,2022.98,-262
952.381,44.7775,0.3885,14.0696,370,630,3869.53,2007.78,-241.5
952.381,44.7775,0.399,13.8462,380,620,3824.78,1992.58,-221
952.381,44.7775,0.4095,13.6229,390,610,3780.02,1977.38,-200.5
952.381,44.7775,0.42,13.3996,400,600,3735.27,1962.17,-180
952.381,44.7775,0.4305,13.1763,410,590,3690.51,1946.97,-159.5
952.381,44.7775,0.441,12.9529,420,580,3645.76,1931.77,-139
952.381,44.7775,0.4515,12.7296,430,570,3601,1916.56,-118.5
952.381,44.7775,0.462,12.5063,440,560,3556.25,1901.36,-98
952.381,44.7775,0.4725,12.283,450,550,3511.5,1886.16,-77.5
952.381,44.7775,0.483,12.0596,460,540,3466.74,1870.96,-57
952.381,44.7775,0.4935,11.8363,470,530,3421.99,1855.75,-36.5
952.381,44.7775,0.504,11.613,480,520,3377.23,1840.55,-16
952.381,44.7775,0.5145,11.3897,490,510,3332.48,1825.35,4.5
952.381,44.7775,0.525,11.1663,500,500,3287.72,1810.14,25
952.381,44.7775,0.5355,10.943,510,490,3242.97,1794.94,45.5
952.381,44.7775,0.546,10.7197,520,480,3198.21,1779.74,66
952.381,44.7775,0.5565,10.4963,530,470,3153.46,1764.54,86.5
952.381,44.7775,0.567,10.273,540,460,3108.71,1749.33,107
952.381,44.7775,0.5775,10.0497,550,450,3063.95,1734.13,127.5
952.381,44.7775,0.588,9.82637,560,440,3019.2,1718.93,148
952.381,44.7775,0.5985,9.60304,570,430,2974.44,1703.72,168.5
952.381,44.7775,0.609,9.37971,580,420,2929.69,1688.52,189
952.381,44.7775,0.6195,9.15639,590,410,2884.93,1673.32,209.5
952.381,44.7775,0.63,8.93306,600,400,2840.18,1658.11,230
952.381,44.7775,0.6405,8.70973,610,390,2795.42,1642.91,250.5
952.381,44.7775,0.651,8.48641,620,380,2750.67,1627.71,271
952.381,44.7775,0.6615,8.26308,630,370,2705.92,1612.51,291.5
952.381,44.7775,0.672,8.03975,640,360,2661.16,1597.3,312
952.381,44.7775,0.6825,7.81643,650,350,2616.41,1582.1,332.5
952.381,44.7775,0.693,7.5931,660,340,2571.65,1566.9,353
952.381,44.7775,0.7035,7.36977,670,330,2526.9,1551.69,373.5
952.381,44.7775,0.714,7.14645,680,320,2482.14,1536.49,394
952.381,44.7775,0.7245,6.92312,690,310,2437.39,1521.29,414.5
952.381,44.7775,0.735,6.69979,700,300,2392.63,1506.09,435
952.381,44.7775,0.7455,6.47647,710,290,2347.88,1490.88,455.5
952.381,44.7775,0.756,6.25314,720,280,2303.12,1475.68,476
952.381,44.7775,0.7665,6.02982,730,270,2258.37,1460.48,496.5
952.381,44.7775,0.777,5.80649,740,260,2213.62,1445.27,517
952.381,44.7775,0.7875,5.58316,750,250,2168.86,1430.07,537.5
952.381,44.7775,0.798,5.35984,760,240,2124.11,1414.87,558
952.381,44.7775,0.8085,5.13651,770,230,2079.35,1399.67,578.5
952.381,44.7775,0.819,4.91318,780,220,2034.6,1384.46,599
952.381,44.7775,0.8295,4.68986,790,210,1989.84,1369.26,619.5
952.381,44.7775,0.84,4.46653,800,200,1945.09,1354.06,640
952.381,44.7775,0.8505,4.2432,810,190,1900.33,1338.85,660.5
952.381,44.7775,0.861,4.01988,820,180,1855.58,1323.65,681
952.381,44.7775,0.8715,3.79655,830,170,1810.83,1308.45,701.5
952.381,44.7775,0.882,3.57322,840,160,1766.07,1293.25,722
952.381,44.7775,0.8925,3.3499,850,150,1721.32,1278.04,742.5
952.381,44.7775,0.903,3.12657,860,140,1676.56,1262.84,763
952.381,44.7775,0.9135,2.90324,870,130,1631.81,1247.64,783.5
952.381,44.7775,0.924,2.67992,880,120,1587.05,1232.43,804
952.381,44.7775,0.9345,2.45659,890,110,1542.3,1217.23,824.5
952.381,44.7775,0.945,2.23326,900,100,1497.54,1202.03,845
952.381,44.7775,0.9555,2.00994,910,90,1452.79,1186.83,865.5
952.381,44.7775,0.966,1.78661,920,80,1408.04,1171.62,886
952.381,44.7775,0.9765,1.56329,930,70,1363.28,1156.42,906.5
952.381,44.7775,0.987,1.33996,940,60,1318.53,1141.22,927
952.381,44.7775,0.9975,1.11663,950,50,1273.77,1126.01,947.5
952.381,44.7775,1.008,0.893306,960,40,1229.02,1110.81,968
952.381,44.7775,1.0185,0.669979,970,30,1184.26,1095.61,988.5
952.381,44.7775,1.029,0.446653,980,20,1139.51,1080.41,1009
952.381,44.7775,1.0395,0.223326,990,10,1094.75,1065.2,1029.5
